af:decimal:latn:normal:other:default:#,##0.###
ar:decimal:latn:long:few:100000:000 ألف
ar:decimal:latn:long:many:100000:000 ألف
ar:decimal:latn:long:other:100000:000 ألف
ar:decimal:latn:long:zero:1000000:0 مليون
ar:decimal:latn:long:one:1000000:0 مليون
ar:decimal:latn:long:two:1000000:0 مليون
ar:decimal:latn:long:few:1000000:0 ملايين
ar:decimal:latn:long:many:1000000:0 مليون
ar:decimal:latn:long:other:1000000:0 مليون
ar:decimal:latn:long:zero:10000000:00 مليون
ar:decimal:latn:long:one:10000000:00 مليون
ar:decimal:latn:long:two:10000000:00 مليون
ar:decimal:latn:long:few:10000000:00 ملايين
ar:decimal:latn:long:many:10000000:00 مليون
ar:decimal:latn:long:other:10000000:00 مليون
ar:decimal:latn:long:zero:100000000:000 مليون
ar:decimal:latn:long:one:100000000:000 مليون
ar:decimal:latn:long:two:100000000:000 مليون
ar:decimal:latn:long:few:100000000:000 مليون
ar:decimal:latn:long:many:100000000:000 مليون
ar:decimal:latn:long:other:100000000:000 مليون
ar:decimal:latn:long:zero:1000000000:0 مليار
ar:decimal:latn:long:one:1000000000:0 مليار
ar:decimal:latn:long:two:1000000000:0 مليار
ar:decimal:latn:long:few:1000000000:0 مليار
ar:decimal:latn:long:many:1000000000:0 مليار
ar:decimal:latn:long:other:1000000000:0 مليار
ar:decimal:latn:long:zero:10000000000:00 مليار
ar:decimal:latn:long:one:10000000000:00 مليار
ar:decimal:latn:long:two:10000000000:00 مليار
ar:decimal:latn:long:few:10000000000:00 مليار
ar:decimal:latn:long:many:10000000000:00 مليار
ar:decimal:latn:long:other:10000000000:00 مليار
ar:decimal:latn:long:zero:100000000000:000 مليار
ar:decimal:latn:long:one:100000000000:000 مليار
ar:decimal:latn:long:two:100000000000:000 مليار
ar:decimal:latn:long:few:100000000000:000 مليار
ar:decimal:latn:long:many:100000000000:000 مليار
ar:decimal:latn:long:other:100000000000:000 مليار
ar:decimal:latn:long:zero:1000000000000:0 ترليون
ar:decimal:latn:long:one:1000000000000:0 ترليون
ar:decimal:latn:long:two:1000000000000:0 ترليون
